country,fluregion,whoregion,year,tot_cases,B%,AH1%,AH3%,p,q,u,v
Canada,North America,Region of the Americas of WHO,2014,45290,0.194656657098697,0.0075734157650695,0.797769927136233,0.7495479903274103,-3.2931207692619626,0.7725,0.07625
Canada,North America,Region of the Americas of WHO,2015,37943,0.262709854255067,0.675276072002741,0.0620140737421922,0.20396797266970784,1.6884014629885744,0.5862499999999999,0.8775
Canada,North America,Region of the Americas of WHO,2016,40300,0.128511166253102,0.0200496277915633,0.851439205955335,-0.013515915249519493,-2.6507435731864657,0.49374999999999997,0.1125
Canada,North America,Region of the Americas of WHO,2017,64976,0.449658335385373,0.0585293031273085,0.491812361487318,0.7958193266461773,-1.5051260886664568,0.78875,0.18125
Canada,North America,Region of the Americas of WHO,2018,46397,0.0481927710843374,0.665107657822704,0.286699571092959,-1.7995444742181494,0.5950402856614266,0.10875,0.6775
Canada,North America,Region of the Americas of WHO,2019,56576,0.417084983031674,0.400116657239819,0.182798359728507,0.35372271448460113,0.5539279798960731,0.64125,0.6675
Chile,Temperate South America,Region of the Americas of WHO,2010,2950,0.143050847457627,0.203728813559322,0.653220338983051,-0.7643648969724561,-0.8238676002541252,0.23875000000000002,0.305
Chile,Temperate South America,Region of the Americas of WHO,2011,1214,0.0172981878088962,0.700988467874794,0.28171334431631,-2.650420565881833,0.6445995256763568,0.06125,0.6875
Chile,Temperate South America,Region of the Americas of WHO,2012,2113,0.315191670610506,0.0227165168007572,0.662091812588736,0.7707178040118512,-2.384584657849515,0.78,0.12375
Chile,Temperate South America,Region of the Americas of WHO,2013,2555,0.221526418786693,0.558512720156556,0.219960861056751,-0.3746263129567165,0.658901733355966,0.3575,0.69375
Chile,Temperate South America,Region of the Americas of WHO,2014,1854,0.173139158576052,0.0048543689320388,0.822006472491909,0.8232587781265641,-3.628779482427633,0.795,0.06125
Chile,Temperate South America,Region of the Americas of WHO,2015,2291,0.254474028808381,0.440855521606285,0.304670449585334,-0.29783767907015357,0.261266414708201,0.385,0.58
Chile,Temperate South America,Region of the Americas of WHO,2016,3912,0.219580777096115,0.535531697341513,0.244887525562372,-0.4085009007719506,0.5532835175702766,0.34375,0.665
Chile,Temperate South America,Region of the Americas of WHO,2017,4159,0.243808607838423,0.0050492906948785,0.751142101466699,1.1234684397953274,-3.537193537333975,0.8625,0.06375
Chile,Temperate South America,Region of the Americas of WHO,2018,4307,0.154167634084049,0.101694915254237,0.744137450661713,-0.4728013188013835,-1.407318181589651,0.31625,0.1975
Chile,Temperate South America,Region of the Americas of WHO,2019,7306,0.384341637010676,0.471803996715029,0.143854366274295,0.31749412104659125,0.8398747029740071,0.63125,0.7374999999999999
China,Eastern Asia,Western Pacific Region of WHO,2010,35620,0.222375070185289,0.36299831555306,0.414626614261651,-0.45439898841910764,-0.09403119882209507,0.32749999999999996,0.47625
China,Eastern Asia,Western Pacific Region of WHO,2011,34941,0.732434675596005,0.0070404395981797,0.260524884805816,2.318188649514056,-2.55338222503928,0.9775,0.11625
China,Eastern Asia,Western Pacific Region of WHO,2012,27562,0.0432842319135041,0.288186633771134,0.668529134315362,-1.8914598339333755,-0.5950103261799655,0.10125,0.3475
China,Eastern Asia,Western Pacific Region of WHO,2013,63688,0.337881547544278,0.387090189674664,0.275028262781058,0.028519893154948094,0.241677676619551,0.515,0.575
China,Eastern Asia,Western Pacific Region of WHO,2014,67854,0.267338697792319,0.0113921065817785,0.721269195625903,0.8830817255522225,-2.9331437851743902,0.8125,0.1
China,Eastern Asia,Western Pacific Region of WHO,2015,87767,0.417993095354746,0.243713468615767,0.338293436029487,0.30660382690723403,-0.23187477140163126,0.62375,0.4325
China,Eastern Asia,Western Pacific Region of WHO,2016,60045,0.152119243900408,0.164659838454492,0.6832209176451,-0.6455918418710288,-1.0061680472046104,0.26749999999999996,0.25999999999999995
China,Eastern Asia,Western Pacific Region of WHO,2017,133861,0.396597963559214,0.26656755888571,0.336834477555076,0.2288749333998574,-0.16543748105007572,0.595,0.45499999999999996
China,Eastern Asia,Western Pacific Region of WHO,2018,95214,0.152950196399689,0.641533808053438,0.205515995546873,-0.7059270397421835,0.8049265304759625,0.25125,0.725
China,Eastern Asia,Western Pacific Region of WHO,2019,75350,0.354187126741871,0.145255474452555,0.500557398805574,0.22267266143348974,-0.8748524431821615,0.5925,0.295
Colombia,Tropical South America,Region of the Americas of WHO,2010,712,0.0674157303370786,0.60814606741573,0.324438202247191,-1.5394036361320167,0.44428934511585,0.14,0.6325
Colombia,Tropical South America,Region of the Americas of WHO,2011,786,0.0203562340966921,0.645038167938931,0.334605597964377,-2.5537921151618006,0.464114465365492,0.06625,0.63875
Colombia,Tropical South America,Region of the Americas of WHO,2012,549,0.0765027322404372,0.397085610200364,0.526411657559198,-1.4597254488896556,-0.1993557640970808,0.14875,0.45125
Colombia,Tropical South America,Region of the Americas of WHO,2013,1045,0.0861244019138756,0.643062200956938,0.270813397129187,-1.2884666722138738,0.6115140357081076,0.165,0.67875
Colombia,Tropical South America,Region of the Americas of WHO,2014,568,0.230633802816901,0.246478873239437,0.522887323943662,-0.3612915373975673,-0.5318077383810147,0.365,0.3575
Colombia,Tropical South America,Region of the Americas of WHO,2015,398,0.0577889447236181,0.266331658291457,0.675879396984925,-1.6277520873899567,-0.6585089482009134,0.12875,0.33375
Colombia,Tropical South America,Region of the Americas of WHO,2016,830,0.144578313253012,0.679518072289157,0.175903614457831,-0.7118533126254647,0.9556177834428012,0.25,0.75875
Colombia,Tropical South America,Region of the Americas of WHO,2017,712,0.168539325842697,0.123595505617978,0.707865168539326,-0.4592505848615257,-1.2340706524300273,0.32375,0.22
Colombia,Tropical South America,Region of the Americas of WHO,2018,1658,0.17189384800965,0.69481302774427,0.13329312424608,-0.46639884310690033,1.1674984483726034,0.31875,0.80125
Colombia,Tropical South America,Region of the Americas of WHO,2019,1152,0.282986111111111,0.430555555555556,0.286458333333333,-0.1763117480791456,0.2881341850382442,0.42374999999999996,0.5862499999999999
Costa Rica,Central America and Caribbean,Region of the Americas of WHO,2010,1048,0.178435114503817,0.387404580152672,0.434160305343511,-0.6795020676234113,-0.08057075846310947,0.26249999999999996,0.47875
Costa Rica,Central America and Caribbean,Region of the Americas of WHO,2011,278,0.0035971223021582,0.241007194244604,0.755395683453237,-3.899506082134254,-0.807809330727599,0.02875,0.31
Costa Rica,Central America and Caribbean,Region of the Americas of WHO,2012,392,0.436224489795918,0.153061224489796,0.410714285714286,0.45216690090740774,-0.6979566799699226,0.67625,0.32999999999999996
Costa Rica,Central America and Caribbean,Region of the Americas of WHO,2013,501,0.0159680638722555,0.728542914171657,0.255489021956088,-2.6915991600157656,0.7409539248828302,0.058750000000000004,0.7125
Costa Rica,Central America and Caribbean,Region of the Americas of WHO,2014,521,0.46257197696737,0.0268714011516315,0.510556621880998,1.1214744771550202,-2.082032768958585,0.86125,0.14250000000000002
